"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"66.0","99999.0","6.30310303103031","0.00702","0.995339906798136","0.601027397260274","0.7999999999999999","2","28","351","49766","233","49649"
"67.0","99999.0","6.30310303103031","0.00676","0.995559911198224","0.6035714285714285","0.7999999999999999","3","28","338","49777","222","49662"
"68.0","99999.0","6.30310303103031","0.0063","0.9959999199984","0.6116504854368932","0.7999999999999999","4","28","315","49799","200","49685"
"69.0","99999.0","6.30310303103031","0.0058","0.9965999319986399","0.6304347826086957","0.7999999999999999","5","28","290","49829","170","49710"
"70.0","99999.0","6.30310303103031","0.00414","0.997839956799136","0.6571428571428571","0.7999999999999999","6","28","207","49891","108","49793"
"71.0","99999.0","6.30310303103031","0.00228","0.999179983599672","0.7354838709677419","0.7999999999999999","7","28","114","49958","41","49886"
"72.0","99999.0","6.30310303103031","0.0014","0.999639992799856","0.7954545454545454","0.7999999999999999","8","28","70","49981","18","49930"
"73.0","99999.0","6.30310303103031","8.0E-4","0.999859997199944","0.851063829787234","0.7999999999999999","9","28","40","49992","7","49960"
"74.0","99999.0","6.30310303103031","4.6E-4","0.999979999599992","0.9583333333333334","0.7999999999999999","10","28","23","49998","1","49977"
"75.0","99999.0","6.30310303103031","2.2E-4","0.999979999599992","0.9166666666666666","0.7999999999999999","11","28","11","49998","1","49989"
"76.0","99999.0","6.30310303103031","8.0E-5","0.999979999599992","0.8","0.7999999999999999","12","28","4","49998","1","49996"
"77.0","99999.0","6.30310303103031","2.0E-5","1.0","1.0","0.7999999999999999","13","28","1","49999","0","49999"
"78.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7999999999999999","14","28","0","49999","0","50000"
"79.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7999999999999999","15","28","0","49999","0","50000"
"80.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7999999999999999","16","28","0","49999","0","50000"
"81.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7999999999999999","17","28","0","49999","0","50000"
"82.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7999999999999999","18","28","0","49999","0","50000"
"83.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7999999999999999","19","28","0","49999","0","50000"
"84.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.7999999999999999","20","28","0","49999","0","50000"
"85.0","99999.0","6.30310303103031","8.0E-4","0.999239984799696","0.5128205128205128","0.8999999999999999","0","28","40","49961","38","49960"
"86.0","99999.0","6.30310303103031","8.0E-4","0.999239984799696","0.5128205128205128","0.8999999999999999","1","28","40","49961","38","49960"
"87.0","99999.0","6.30310303103031","8.0E-4","0.999239984799696","0.5128205128205128","0.8999999999999999","2","28","40","49961","38","49960"
"88.0","99999.0","6.30310303103031","8.0E-4","0.999239984799696","0.5128205128205128","0.8999999999999999","3","28","40","49961","38","49960"
"89.0","99999.0","6.30310303103031","7.6E-4","0.999239984799696","0.5","0.8999999999999999","4","28","38","49961","38","49962"
"90.0","99999.0","6.30310303103031","7.6E-4","0.999239984799696","0.5","0.8999999999999999","5","28","38","49961","38","49962"
