"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"78.0","500000.0","8.823886","0.249352","0.999864","0.9994548836016162","0.7999999999999999","14","28","62338","249966","34","187662"
"79.0","500000.0","8.823886","0.226816","0.9999","0.9995593082902925","0.7999999999999999","15","28","56704","249975","25","193296"
"80.0","500000.0","8.823886","0.203888","0.99994","0.9997058073626611","0.7999999999999999","16","28","50972","249985","15","199028"
"81.0","500000.0","8.823886","0.178236","0.99998","0.9998878018131226","0.7999999999999999","17","28","44559","249995","5","205441"
"82.0","500000.0","8.823886","0.154248","0.999996","0.9999740684075409","0.7999999999999999","18","28","38562","249999","1","211438"
"83.0","500000.0","8.823886","0.129624","1.0","1.0","0.7999999999999999","19","28","32406","250000","0","217594"
"84.0","500000.0","8.823886","0.109284","1.0","1.0","0.7999999999999999","20","28","27321","250000","0","222679"
"85.0","500000.0","8.823886","0.033536","0.993972","0.8476392680214336","0.8999999999999999","0","28","8384","248493","1507","241616"
"86.0","500000.0","8.823886","0.033536","0.993976","0.8477249747219413","0.8999999999999999","1","28","8384","248494","1506","241616"
"87.0","500000.0","8.823886","0.03352","0.998484","0.9567302203447882","0.8999999999999999","2","28","8380","249621","379","241620"
"88.0","500000.0","8.823886","0.0335","0.998672","0.961869759963248","0.8999999999999999","3","28","8375","249668","332","241625"
"89.0","500000.0","8.823886","0.033492","0.999184","0.9762154599510319","0.8999999999999999","4","28","8373","249796","204","241627"
"90.0","500000.0","8.823886","0.033396","0.999576","0.9874630396215257","0.8999999999999999","5","28","8349","249894","106","241651"
"91.0","500000.0","8.823886","0.033072","0.99978","0.9933918058392407","0.8999999999999999","6","28","8268","249945","55","241732"
"92.0","500000.0","8.823886","0.032708","0.999936","0.9980471133894788","0.8999999999999999","7","28","8177","249984","16","241823"
"93.0","500000.0","8.823886","0.032464","0.99996","0.9987693822298794","0.8999999999999999","8","28","8116","249990","10","241884"
"94.0","500000.0","8.823886","0.032128","0.99998","0.999377877317407","0.8999999999999999","9","28","8032","249995","5","241968"
"95.0","500000.0","8.823886","0.031708","0.999988","0.9996216897856242","0.8999999999999999","10","28","7927","249997","3","242073"
