"Sample"	"Contamination Status"	"Overall Homoplasmies"	"Overall Heteroplasmies"	"Sample Coverage"	"Major Haplogroup"	"Major Haplogroup Quality"	"Minor Haplogroup"	"Minor Haplogroup Quality"	"Amount Major Homoplasmies"	"Amount Minor Homoplasmies"	"Amount Major Heteroplasmies"	"Amount Minor Heteroplasmies"	"Major Heteroplasmy Level"	"Minor Heteroplasmy Level"	"Distance"	"Clusters"
"HG00267.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"30"	"11"	"1473"	"U4a2"	"0.962"	"U4a2"	"0.918"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG00268.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"28"	"11"	"2509"	"U5a2a1a"	"0.986"	"U5a2a1a"	"0.985"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"HG00269.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"11"	"14"	"1245"	"H1a2"	"1.000"	"H1a2"	"0.914"	"10"	"10"	"0"	"0"	" "	" "	"0"	""
"HG00271.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"26"	"24"	"2623"	"U5b1b2a"	"0.990"	"U5b1b2a"	"0.843"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG00272.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"18"	"13"	"1206"	"H1c3b"	"0.898"	"H1c3b"	"0.821"	"12"	"12"	"0"	"0"	" "	" "	"0"	""
"HG00273.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"29"	"18"	"2539"	"U5b1b2a"	"0.948"	"U5b1b2a"	"0.878"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG00274.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"27"	"20"	"1195"	"U5b1b2a"	"0.960"	"U5b1b2a"	"0.889"	"25"	"25"	"0"	"0"	" "	" "	"0"	""
"HG00275.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"26"	"17"	"948"	"U5b1b2"	"0.978"	"U5b1b2"	"0.930"	"25"	"25"	"0"	"0"	" "	" "	"0"	""
"HG00276.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"31"	"9"	"1405"	"J1c2n1"	"0.988"	"J1c2n1"	"0.988"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG00277.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"29"	"7"	"956"	"U5b1b1a1a"	"0.991"	"U5b1b1a1a"	"0.958"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
