"Sample"	"Contamination Status"	"Overall Homoplasmies"	"Overall Heteroplasmies"	"Sample Coverage"	"Major Haplogroup"	"Major Haplogroup Quality"	"Minor Haplogroup"	"Minor Haplogroup Quality"	"Amount Major Homoplasmies"	"Amount Minor Homoplasmies"	"Amount Major Heteroplasmies"	"Amount Minor Heteroplasmies"	"Major Heteroplasmy Level"	"Minor Heteroplasmy Level"	"Distance"	"Clusters"
"HG03048.mapped.ILLUMINA.bwa.GWD.low_coverage.20121211.bam"	"NO"	"60"	"14"	"3852"	"L2c1a"	"0.965"	"L2c1a"	"0.947"	"53"	"53"	"0"	"0"	" "	" "	"0"	""
"HG03049.mapped.ILLUMINA.bwa.GWD.low_coverage.20121211.bam"	"NO"	"52"	"15"	"2731"	"L2c"	"0.957"	"L2c"	"0.928"	"49"	"49"	"1"	"0"	"0.962"	" "	"0"	"0.962 (1);"
"HG03052.mapped.ILLUMINA.bwa.MSL.low_coverage.20121211.bam"	"NO"	"78"	"16"	"3027"	"L1b1a4"	"0.994"	"L1b1a4"	"0.989"	"76"	"76"	"0"	"0"	" "	" "	"0"	""
"HG03054.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"37"	"22"	"2741"	"L3b1"	"0.941"	"L3b1"	"0.885"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG03055.mapped.ILLUMINA.bwa.MSL.low_coverage.20121211.bam"	"NO"	"46"	"21"	"3755"	"L3b1"	"0.853"	"L3b1"	"0.846"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG03057.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"76"	"19"	"2872"	"L1b1a"	"0.980"	"L1b1a"	"0.957"	"72"	"72"	"0"	"0"	" "	" "	"0"	""
"HG03058.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"81"	"11"	"3473"	"L1b1a14"	"0.971"	"L1b1a14"	"0.953"	"74"	"74"	"0"	"0"	" "	" "	"0"	""
"HG03060.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"26"	"9"	"2406"	"U6a3"	"0.959"	"U6a3"	"0.959"	"22"	"22"	"0"	"0"	" "	" "	"0"	""
"HG03061.mapped.ILLUMINA.bwa.MSL.low_coverage.20121211.bam"	"YES"	"21"	"45"	"1668"	"L3e2b1a"	"0.961"	"L2b'c"	"0.873"	"21"	"20"	"6"	"15"	"0.983"	"0.015"	"13"	"0.008 - 0.022 (15);0.98 - 0.988 (6);"
"HG03063.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"YES"	"30"	"72"	"2405"	"L0a1a+200"	"0.988"	"L3"	"0.757"	"31"	"16"	"41"	"1"	"0.982"	"0.013"	"16"	"0.013 (1);0.969 - 0.992 (41);"
"HG03064.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"52"	"11"	"2321"	"L2a1i"	"0.955"	"L2a1i"	"0.955"	"49"	"49"	"0"	"0"	" "	" "	"0"	""
"HG03066.mapped.ILLUMINA.bwa.MSL.low_coverage.20121211.bam"	"NO"	"79"	"14"	"3218"	"L1b2a"	"0.970"	"L1b2a"	"0.963"	"73"	"73"	"0"	"0"	" "	" "	"0"	""
"HG03069.mapped.ILLUMINA.bwa.MSL.low_coverage.20121211.bam"	"NO"	"57"	"14"	"2137"	"L2c2"	"0.979"	"L2c2"	"0.964"	"55"	"55"	"0"	"0"	" "	" "	"0"	""
"HG03072.mapped.ILLUMINA.bwa.MSL.low_coverage.20121211.bam"	"NO"	"58"	"9"	"3174"	"L2c"	"0.944"	"L2c"	"0.938"	"51"	"51"	"0"	"0"	" "	" "	"0"	""
"HG03073.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"78"	"19"	"2216"	"L1b1a9"	"0.987"	"L1b1a9"	"0.962"	"74"	"74"	"0"	"0"	" "	" "	"0"	""
"HG03074.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"57"	"13"	"2147"	"L2c"	"0.972"	"L2c3"	"0.962"	"53"	"53"	"0"	"0"	" "	" "	"1"	""
"HG03077.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"88"	"16"	"2391"	"L1c1d"	"0.898"	"L1c1d"	"0.904"	"73"	"73"	"0"	"0"	" "	" "	"0"	""
"HG03078.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"59"	"9"	"4161"	"L2a1c"	"0.933"	"L2a1c"	"0.933"	"50"	"50"	"0"	"0"	" "	" "	"0"	""
"HG03079.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"78"	"15"	"2657"	"L1b1a18"	"0.988"	"L1b1a18"	"0.973"	"75"	"75"	"0"	"0"	" "	" "	"0"	""
"HG03081.mapped.ILLUMINA.bwa.MSL.low_coverage.20121211.bam"	"NO"	"30"	"13"	"3416"	"L3e4a"	"1.000"	"L3e4a"	"0.987"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"HG03082.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"39"	"15"	"2447"	"L3e3b"	"0.957"	"L3e3b"	"0.961"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"HG03084.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"87"	"15"	"3032"	"L0a1a3"	"0.965"	"L0a1a3"	"0.957"	"82"	"82"	"0"	"0"	" "	" "	"0"	""
"HG03085.mapped.ILLUMINA.bwa.MSL.low_coverage.20121211.bam"	"NO"	"53"	"7"	"3481"	"L2a1l"	"0.984"	"L2a1l"	"0.984"	"50"	"50"	"0"	"0"	" "	" "	"0"	""
"HG03086.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"37"	"18"	"3371"	"L3b3"	"0.987"	"L3b3"	"0.974"	"37"	"37"	"0"	"0"	" "	" "	"0"	""
"HG03088.mapped.ILLUMINA.bwa.MSL.low_coverage.20121211.bam"	"NO"	"57"	"8"	"1593"	"L2a1c3b1"	"0.965"	"L2a1c3b1"	"0.958"	"52"	"52"	"0"	"0"	" "	" "	"0"	""
"HG03091.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"59"	"15"	"2058"	"L2c"	"0.951"	"L2c"	"0.940"	"53"	"53"	"0"	"0"	" "	" "	"0"	""
"HG03095.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"37"	"16"	"3615"	"L3b1a5"	"0.951"	"L3b1a5"	"0.951"	"33"	"33"	"0"	"0"	" "	" "	"0"	""
"HG03096.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"84"	"19"	"3650"	"L1c1c"	"0.913"	"L1c1c"	"0.878"	"72"	"72"	"0"	"0"	" "	" "	"0"	""
"HG03097.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"48"	"20"	"5525"	"L2a1l"	"0.994"	"L2a1"	"0.913"	"47"	"46"	"0"	"0"	" "	" "	"3"	""
"HG03099.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"74"	"19"	"2885"	"L1b1a+189"	"0.974"	"L1b1a+189"	"0.951"	"71"	"71"	"0"	"0"	" "	" "	"0"	""
"HG03100.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"36"	"18"	"3258"	"L3d1d"	"0.973"	"L3d1d"	"0.946"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"HG03103.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"81"	"10"	"2823"	"L1b1a15"	"0.982"	"L1b1a15"	"0.987"	"77"	"77"	"0"	"0"	" "	" "	"0"	""
"HG03105.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"37"	"18"	"2849"	"L3e3b"	"0.984"	"L3e3b"	"0.942"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"HG03108.mapped.ILLUMINA.bwa.ESN.low_coverage.20130422.bam"	"YES"	"20"	"40"	"2910"	"L3b1a"	"0.905"	"L3"	"0.887"	"19"	"18"	"10"	"0"	"0.986"	" "	"4"	"0.976 (1);0.984 - 0.99 (9);"
"HG03109.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"76"	"14"	"2684"	"L1b1a3"	"1.000"	"L1b1a3"	"0.968"	"75"	"75"	"0"	"0"	" "	" "	"0"	""
"HG03111.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"43"	"29"	"2008"	"L3f1b3"	"0.954"	"L3f1b3"	"0.933"	"38"	"38"	"0"	"0"	" "	" "	"0"	""
"HG03112.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"76"	"13"	"2632"	"L1b1a3"	"1.000"	"L1b1a3"	"0.992"	"75"	"75"	"0"	"0"	" "	" "	"0"	""
"HG03114.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"53"	"17"	"2872"	"L2a1a2c"	"0.987"	"L2a1a2c"	"0.926"	"51"	"51"	"0"	"0"	" "	" "	"0"	""
"HG03115.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"35"	"9"	"3480"	"L3e2b1a2"	"0.958"	"L3e2b1a2"	"0.932"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG03117.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"57"	"14"	"2836"	"L2a1c1a2"	"0.994"	"L2a1c1a2"	"0.975"	"55"	"55"	"0"	"0"	" "	" "	"0"	""
"HG03118.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"36"	"21"	"2791"	"L3e1a"	"0.957"	"L3e1a"	"0.896"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG03120.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"76"	"21"	"3067"	"L1b1a3"	"0.990"	"L1b1a3"	"0.962"	"73"	"73"	"0"	"0"	" "	" "	"0"	""
"HG03121.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"37"	"35"	"2949"	"L2a1+143+16189  (16192)"	"0.990"	"L2a1+143+@16309"	"0.834"	"35"	"35"	"0"	"0"	" "	" "	"2"	""
"HG03123.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"54"	"17"	"4801"	"L2a1a2"	"0.979"	"L2a1a2"	"0.929"	"51"	"51"	"0"	"0"	" "	" "	"0"	""
"HG03124.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"38"	"15"	"3417"	"L3b1a"	"0.925"	"L3b1a"	"0.915"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"HG03126.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"37"	"9"	"1998"	"L3e1a3b"	"0.951"	"L3e1a3b"	"0.926"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"HG03127.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"77"	"13"	"2909"	"L0a1a2"	"0.986"	"L0a1a2"	"0.972"	"78"	"78"	"0"	"0"	" "	" "	"0"	""
"HG03129.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"33"	"14"	"3066"	"L3d2a"	"0.972"	"L3d2a"	"0.933"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG03130.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"72"	"14"	"2387"	"L2e1a"	"0.951"	"L2e1a"	"0.934"	"62"	"62"	"0"	"0"	" "	" "	"0"	""
"HG03132.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"51"	"13"	"2654"	"L2a1b1"	"0.959"	"L2a1b1"	"0.899"	"48"	"48"	"0"	"0"	" "	" "	"0"	""
"HG03133.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"91"	"21"	"3702"	"L1c2b1c"	"0.960"	"L1c2b1c"	"0.926"	"88"	"88"	"0"	"0"	" "	" "	"0"	""
"HG03135.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"51"	"21"	"3049"	"L2a1f1"	"0.978"	"L2a1f1"	"0.930"	"49"	"49"	"0"	"0"	" "	" "	"0"	""
"HG03136.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"79"	"27"	"3199"	"L1b1a3"	"0.982"	"L1b1a3"	"0.928"	"75"	"75"	"0"	"0"	" "	" "	"0"	""
"HG03139.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"54"	"15"	"2391"	"L4b2b"	"0.900"	"L4b2b"	"0.885"	"39"	"39"	"0"	"0"	" "	" "	"0"	""
"HG03157.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"62"	"12"	"1989"	"L2c2a1"	"0.976"	"L2c2a1"	"0.957"	"59"	"59"	"0"	"0"	" "	" "	"0"	""
"HG03159.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"49"	"16"	"2323"	"L2a1f"	"0.992"	"L2a1f"	"0.965"	"48"	"48"	"0"	"0"	" "	" "	"0"	""
"HG03160.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"30"	"13"	"2009"	"L3e2b8"	"0.961"	"L3e2b8"	"0.967"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"HG03162.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"41"	"21"	"3350"	"L3f1b+16292+150"	"0.933"	"L3f1b+16292+150"	"0.907"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"HG03163.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"51"	"11"	"2974"	"L2a1f1"	"0.985"	"L2a1f1"	"0.977"	"50"	"50"	"0"	"0"	" "	" "	"0"	""
"HG03166.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"81"	"16"	"3227"	"L1b1a3b"	"0.992"	"L1b1a3b"	"0.992"	"78"	"78"	"0"	"0"	" "	" "	"0"	""
"HG03168.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"89"	"23"	"2881"	"L1c2a1"	"0.949"	"L1c2a1"	"0.947"	"84"	"84"	"0"	"0"	" "	" "	"0"	""
"HG03169.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"57"	"17"	"2455"	"L2a1a3c"	"0.988"	"L2a1a3c"	"0.963"	"54"	"54"	"0"	"0"	" "	" "	"0"	""
"HG03172.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"41"	"13"	"3337"	"L3f1b1a"	"0.973"	"L3f1b1a"	"0.966"	"37"	"37"	"0"	"0"	" "	" "	"0"	""
"HG03175.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"32"	"13"	"2013"	"L3e2a1b1"	"0.990"	"L3e2a1b1"	"0.958"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG03189.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"54"	"12"	"2828"	"L4b2b"	"0.900"	"L4b2b"	"0.871"	"39"	"39"	"0"	"0"	" "	" "	"0"	""
"HG03190.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"40"	"13"	"2168"	"L3e1a"	"0.891"	"L3e1a"	"0.878"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG03193.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"40"	"10"	"2025"	"L3f1b1a"	"0.986"	"L3f1b1a"	"0.972"	"38"	"38"	"0"	"0"	" "	" "	"0"	""
"HG03195.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"31"	"16"	"3441"	"L3e2b1"	"1.000"	"L3e2b1"	"1.000"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"HG03196.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"35"	"22"	"3212"	"L3e1"	"0.945"	"L3e1"	"0.889"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG03198.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"38"	"14"	"3050"	"L3d5a"	"0.961"	"L3d5a"	"0.951"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"HG03199.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"50"	"10"	"2187"	"L2a1f"	"0.994"	"L2a1f"	"0.985"	"49"	"49"	"0"	"0"	" "	" "	"0"	""
"HG03202.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"53"	"18"	"2970"	"L2a1b1"	"0.958"	"L2a1b1"	"0.929"	"49"	"49"	"0"	"0"	" "	" "	"0"	""
"HG03209.mapped.ILLUMINA.bwa.MSL.low_coverage.20121211.bam"	"NO"	"79"	"13"	"2216"	"L2e"	"0.899"	"L2e"	"0.877"	"61"	"61"	"1"	"1"	"0.979"	"0.019"	"0"	"0.019 (1);0.979 (1);"
"HG03212.mapped.ILLUMINA.bwa.MSL.low_coverage.20121211.bam"	"NO"	"33"	"13"	"3807"	"L3e4a1"	"0.954"	"L3e4a1"	"0.943"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG03224.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"36"	"13"	"1901"	"L3d2"	"0.948"	"L3d2b"	"0.929"	"30"	"30"	"0"	"0"	" "	" "	"1"	""
"HG03225.mapped.ILLUMINA.bwa.MSL.low_coverage.20130415.bam"	"NO"	"58"	"12"	"2515"	"L2c"	"0.943"	"L2c"	"0.943"	"52"	"52"	"0"	"0"	" "	" "	"0"	""
"HG03228.mapped.ILLUMINA.bwa.PJL.low_coverage.20130415.bam"	"NO"	"34"	"10"	"185"	"W1c"	"0.974"	"W1c"	"0.891"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG03229.mapped.ILLUMINA.bwa.PJL.low_coverage.20130415.bam"	"NO"	"32"	"9"	"196"	"M3a2"	"0.944"	"M3a2"	"0.900"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG03234.mapped.ILLUMINA.bwa.PJL.low_coverage.20121211.bam"	"NO"	"39"	"8"	"165"	"M52a"	"0.861"	"M52a"	"0.837"	"27"	"27"	"0"	"0"	" "	" "	"0"	""
"HG03235.mapped.ILLUMINA.bwa.PJL.low_coverage.20121211.bam"	"NO"	"12"	"13"	"155"	"H+73"	"0.854"	"H+73"	"0.778"	"9"	"9"	"0"	"0"	" "	" "	"0"	""
"HG03237.mapped.ILLUMINA.bwa.PJL.low_coverage.20130415.bam"	"NO"	"31"	"4"	"123"	"M30g"	"0.981"	"M30g"	"0.981"	"27"	"27"	"0"	"0"	" "	" "	"0"	""
"HG03238.mapped.ILLUMINA.bwa.PJL.low_coverage.20130415.bam"	"YES"	"17"	"43"	"127"	"J1b8"	"0.956"	"L3d5a"	"0.834"	"17"	"13"	"10"	"14"	"0.853"	"0.151"	"13"	"0.107 - 0.224 (14);0.798 - 0.901 (10);"
"HG03240.mapped.ILLUMINA.bwa.GWD.low_coverage.20121211.bam"	"NO"	"77"	"9"	"4275"	"L2e"	"0.920"	"L2e"	"0.915"	"59"	"59"	"1"	"0"	"0.929"	" "	"0"	"0.929 (1);"
"HG03241.mapped.ILLUMINA.bwa.GWD.low_coverage.20121211.bam"	"NO"	"44"	"13"	"4474"	"L3d1a1b"	"0.908"	"L3d1a1b"	"0.900"	"38"	"38"	"0"	"0"	" "	" "	"0"	""
"HG03246.mapped.ILLUMINA.bwa.GWD.low_coverage.20121211.bam"	"YES"	"19"	"67"	"3170"	"L3b1a+@16124"	"0.979"	"L2c5"	"0.930"	"18"	"18"	"11"	"25"	"0.979"	"0.014"	"14"	"0.008 - 0.019 (25);0.966 - 0.983 (11);"
"HG03247.mapped.ILLUMINA.bwa.GWD.low_coverage.20121211.bam"	"NO"	"36"	"11"	"2097"	"L3d2a"	"0.956"	"L3d2a"	"0.945"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG03258.mapped.ILLUMINA.bwa.GWD.low_coverage.20121211.bam"	"NO"	"29"	"8"	"3616"	"U6a5"	"0.934"	"U6a5"	"0.934"	"24"	"24"	"0"	"0"	" "	" "	"0"	""
"HG03259.mapped.ILLUMINA.bwa.GWD.low_coverage.20121211.bam"	"NO"	"51"	"17"	"3471"	"L4b1a"	"0.920"	"L4b1a"	"0.907"	"45"	"45"	"1"	"1"	"0.977"	"0.020"	"0"	"0.02 (1);0.977 (1);"
"HG03265.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"39"	"19"	"2898"	"L3d5a"	"0.949"	"L3d5a"	"0.913"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"HG03267.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"81"	"14"	"3659"	"L0a1a2"	"0.966"	"L0a1a2"	"0.945"	"78"	"78"	"0"	"0"	" "	" "	"0"	""
"HG03268.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"80"	"14"	"2921"	"L0a1a2"	"0.973"	"L0a1a2"	"0.963"	"80"	"80"	"0"	"0"	" "	" "	"0"	""
"HG03270.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"80"	"15"	"2725"	"L1b1a18"	"0.982"	"L1b1a18"	"0.974"	"76"	"76"	"0"	"0"	" "	" "	"0"	""
"HG03271.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"90"	"23"	"2640"	"L1c2b1b"	"0.969"	"L1c2b1b"	"0.930"	"87"	"87"	"0"	"0"	" "	" "	"0"	""
"HG03279.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"65"	"11"	"4686"	"L2d1"	"0.941"	"L2d1"	"0.924"	"54"	"54"	"0"	"0"	" "	" "	"0"	""
"HG03280.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"36"	"20"	"3122"	"L3e2b8"	"0.921"	"L3e2b8"	"0.875"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"HG03291.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"71"	"17"	"1606"	"L2b1a"	"0.967"	"L2b1a"	"0.953"	"66"	"66"	"0"	"0"	" "	" "	"0"	""
"HG03294.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"39"	"25"	"1577"	"L3b1b"	"0.919"	"L3b1b"	"0.863"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"HG03295.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"77"	"14"	"4937"	"L1b1a"	"0.996"	"L1b1a"	"0.966"	"73"	"73"	"0"	"0"	" "	" "	"0"	""
"HG03297.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"37"	"43"	"1870"	"L2a1f1"	"0.990"	"L2a1f1"	"0.729"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"HG03298.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"80"	"21"	"2284"	"L0a1a2"	"0.980"	"L0a1a2"	"0.932"	"78"	"78"	"0"	"0"	" "	" "	"0"	""
"HG03300.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"90"	"25"	"1893"	"L1c2b1a'b"	"0.950"	"L1c2b1a'b"	"0.911"	"83"	"83"	"0"	"0"	" "	" "	"0"	""
"HG03301.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"34"	"21"	"2304"	"L3e2a1b1"	"0.967"	"L3e2a1b1"	"0.886"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG03303.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"38"	"17"	"2198"	"L3f1b4c"	"0.987"	"L3f1b4c"	"0.955"	"37"	"37"	"0"	"0"	" "	" "	"0"	""
"HG03304.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"33"	"17"	"2018"	"L3e2b8"	"0.956"	"L3e2b8"	"0.914"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"HG03311.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"77"	"15"	"1523"	"L1b1a"	"0.975"	"L1b1a"	"0.980"	"73"	"73"	"0"	"0"	" "	" "	"0"	""
"HG03313.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"93"	"17"	"1382"	"L1c2a2"	"0.960"	"L1c2a2"	"0.943"	"89"	"89"	"0"	"0"	" "	" "	"0"	""
"HG03342.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"50"	"21"	"4224"	"L2a1+143+16189  (16192)"	"0.981"	"L2a1+143+@16309"	"0.922"	"47"	"46"	"0"	"0"	" "	" "	"2"	""
"HG03343.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"80"	"15"	"2049"	"L1c3a"	"0.966"	"L1c3a"	"0.966"	"73"	"73"	"0"	"0"	" "	" "	"0"	""
"HG03351.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"76"	"19"	"1570"	"L1b1a"	"0.980"	"L1b1a"	"0.975"	"73"	"73"	"0"	"0"	" "	" "	"0"	""
"HG03352.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"32"	"10"	"1767"	"L3e2b1a1"	"0.996"	"L3e2b1a1"	"0.996"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG03354.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"49"	"24"	"1591"	"L2c2b1a"	"0.984"	"L2c2b1a"	"0.892"	"48"	"48"	"0"	"0"	" "	" "	"0"	""
"HG03363.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"93"	"11"	"1062"	"L1c2b1b"	"0.952"	"L1c2b1b"	"0.946"	"87"	"87"	"0"	"0"	" "	" "	"0"	""
"HG03366.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"36"	"19"	"1488"	"L3d1b2"	"0.950"	"L3d1b2"	"0.906"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"HG03367.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"65"	"6"	"2007"	"L2e1a"	"0.991"	"L2e1a"	"0.991"	"64"	"64"	"0"	"0"	" "	" "	"0"	""
"HG03369.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"40"	"8"	"2681"	"L3e3b"	"0.962"	"L3e3b"	"0.918"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"HG03370.mapped.ILLUMINA.bwa.ESN.low_coverage.20121211.bam"	"NO"	"34"	"20"	"3554"	"L3b1a"	"0.928"	"L3b1a"	"0.915"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG03372.mapped.ILLUMINA.bwa.ESN.low_coverage.20130415.bam"	"NO"	"40"	"9"	"1397"	"L3e3b"	"0.962"	"L3e3b"	"0.962"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
